store_id,channel_id,stat_month,exposure_count,click_count,arrival_count,avg_price
S003,C001,2024-02,7777,1024,38,448.19
S003,C001,2024-03,9161,924,35,417.66
S003,C001,2024-04,9030,1081,37,398.34
S003,C001,2024-05,8709,1299,44,422.24
S003,C001,2024-06,9046,1143,38,422.0
S003,C001,2024-07,7095,755,27,455.07
S003,C001,2024-08,7232,750,25,378.21
S003,C001,2024-09,6371,698,26,386.76
S003,C001,2024-10,5537,678,22,439.99
S003,C001,2024-11,6891,703,24,461.73
S003,C001,2024-12,7242,1069,34,396.59
S003,C002,2024-01,13421,1545,32,354.54
S003,C002,2024-02,15935,1807,38,342.5
S003,C002,2024-03,15977,2081,38,377.44
S003,C002,2024-04,17079,2435,49,390.62
S003,C002,2024-05,18442,2750,56,381.67
S003,C002,2024-06,16200,1929,42,395.58
S003,C002,2024-07,13814,1421,25,357.57
S003,C002,2024-08,12281,1482,27,389.95
S003,C002,2024-09,11231,1228,24,409.54
S003,C002,2024-10,11460,1383,28,361.55
S003,C002,2024-11,11570,1280,25,395.0
S003,C002,2024-12,13425,1513,31,361.45
S003,C003,2024-01,5363,630,28,482.77
S003,C003,2024-02,6531,934,40,514.82
S003,C003,2024-03,6397,755,30,567.19
S003,C003,2024-04,6803,948,39,552.48
S003,C003,2024-05,7252,984,47,485.39
S003,C003,2024-06,6313,827,37,557.55
S003,C003,2024-07,5438,591,25,560.72
S003,C003,2024-08,5647,725,32,530.96
S003,C003,2024-09,4878,529,24,515.04
S003,C003,2024-10,4629,469,22,554.88
S003,C003,2024-11,4881,670,30,532.31
S003,C003,2024-12,5080,709,31,538.74
S003,C004,2024-01,492,66,17,681.73
S003,C004,2024-02,561,70,19,714.36
S003,C004,2024-03,526,74,18,745.89
S003,C004,2024-04,601,62,15,682.35
S003,C004,2024-05,602,82,19,700.87
S003,C004,2024-06,536,56,13,658.39
S003,C004,2024-07,451,48,10,730.74
S003,C004,2024-08,414,47,11,676.65
S003,C004,2024-09,398,43,10,710.33
S003,C004,2024-10,374,48,12,638.59
S003,C004,2024-11,415,58,14,656.05
S003,C004,2024-12,469,57,13,667.52
S003,C005,2024-01,3992,568,13,340.75
S003,C005,2024-02,4335,633,14,381.82
S003,C005,2024-03,4489,628,15,351.17
S003,C005,2024-04,4794,695,16,357.17
S003,C005,2024-05,4266,465,12,338.45
S003,C005,2024-06,4476,543,14,338.21
S003,C005,2024-07,3531,366,9,355.52
S003,C005,2024-08,3116,447,12,382.06
S003,C005,2024-09,3018,358,9,359.23
S003,C005,2024-10,2862,320,8,334.87
S003,C005,2024-11,3322,411,10,371.6
S003,C005,2024-12,3417,402,10,347.27
S003,C006,2024-01,5082,680,27,438.19
S003,C006,2024-02,4974,674,24,492.35
S003,C006,2024-03,6177,657,24,442.14
S003,C006,2024-04,6301,756,29,468.32
S003,C006,2024-05,5275,623,23,459.14
S003,C006,2024-06,4929,628,26,451.28
S003,C006,2024-07,4981,516,20,413.54
S003,C006,2024-08,4411,503,19,411.91
S003,C006,2024-09,3822,479,19,411.0
S003,C006,2024-10,3960,492,19,479.95
S003,C006,2024-11,3847,418,16,490.05
S003,C006,2024-12,4340,614,25,451.65
S004,C001,2024-01,8037,1016,35,437.57
S004,C001,2024-02,8847,928,34,435.53
S004,C001,2024-03,10473,1271,40,388.22
S004,C001,2024-04,10365,1071,40,401.66
S004,C001,2024-05,10375,1438,54,395.98
S004,C001,2024-06,9181,961,31,404.03
S004,C001,2024-07,8584,869,32,383.95
S004,C001,2024-08,7189,748,27,389.87
S004,C001,2024-09,7292,922,35,402.39
S004,C001,2024-10,6492,874,32,413.39
S004,C001,2024-11,7303,773,28,407.25
S004,C001,2024-12,6783,809,30,460.36
S004,C002,2024-01,15027,2168,43,396.49
S004,C002,2024-02,15356,1963,35,362.41
S004,C002,2024-03,18257,2562,51,413.15
S004,C002,2024-04,19571,2109,41,392.8
S004,C002,2024-05,19596,2927,61,385.61
S004,C002,2024-06,17759,2018,38,391.73
S004,C002,2024-07,16498,2449,47,402.54
S004,C002,2024-08,14792,1940,37,389.05
S004,C002,2024-09,12911,1682,34,406.38
S004,C002,2024-10,11474,1358,27,363.53
S004,C002,2024-11,13911,1574,31,408.68
S004,C002,2024-12,12660,1785,36,344.42
S004,C003,2024-01,6637,676,30,473.1
S004,C003,2024-02,6177,891,42,488.48
S004,C003,2024-03,7380,1031,50,516.7
S004,C003,2024-04,7957,997,46,569.82
S004,C003,2024-05,6826,740,32,485.1
S004,C003,2024-06,6465,886,39,507.0
S004,C003,2024-07,5981,656,29,532.96
S004,C003,2024-08,5129,762,33,566.59
S004,C003,2024-09,4707,651,29,553.29
S004,C003,2024-10,5013,742,34,549.6
S004,C003,2024-11,5462,741,33,496.37
S004,C003,2024-12,5920,734,33,476.24
S004,C004,2024-01,511,68,17,673.0
S004,C004,2024-02,531,61,15,642.49
S004,C004,2024-03,615,79,21,620.27
S004,C004,2024-04,566,70,17,617.43
S004,C004,2024-05,639,79,19,655.36
S004,C004,2024-06,603,66,15,640.99
S004,C004,2024-07,524,73,17,635.59
S004,C004,2024-08,433,56,13,731.31
S004,C004,2024-09,389,39,8,727.01
S004,C004,2024-10,421,62,14,640.92
S004,C004,2024-11,428,54,13,659.26
S004,C004,2024-12,415,42,10,683.16
S004,C005,2024-01,4358,501,13,354.64
S004,C005,2024-02,4141,616,15,369.32
S004,C005,2024-03,4968,586,15,386.66
S004,C005,2024-04,4803,638,16,337.69
S004,C005,2024-05,4643,489,12,381.67
S004,C005,2024-06,4604,501,12,384.12
S004,C005,2024-07,3933,557,14,325.57
S004,C005,2024-08,3493,444,11,387.4
S004,C005,2024-09,3481,414,9,378.72
S004,C005,2024-10,3083,415,9,330.56
S004,C005,2024-11,3217,367,9,335.58
S004,C005,2024-12,4002,511,12,355.3
S004,C006,2024-01,5187,524,23,455.18
S004,C006,2024-02,5107,661,26,407.16
S004,C006,2024-03,6515,654,26,491.56
S004,C006,2024-04,5820,655,23,410.97
S004,C006,2024-05,5458,770,32,470.4
S004,C006,2024-06,5464,770,31,432.39
S004,C006,2024-07,5054,522,22,460.72
S004,C006,2024-08,4820,645,26,406.55
S004,C006,2024-09,4253,600,21,491.05
S004,C006,2024-10,4032,461,18,477.11
S004,C006,2024-11,4210,556,22,461.81
S004,C006,2024-12,4273,435,16,430.73
S005,C001,2024-01,6765,830,26,380.93
S005,C001,2024-02,6679,785,24,419.49
S005,C001,2024-03,7542,963,35,399.08
S005,C001,2024-04,7391,841,26,388.08
S005,C001,2024-05,8148,905,34,392.1
S005,C001,2024-06,7694,1040,35,405.78
S005,C001,2024-07,6697,955,32,383.14
S005,C001,2024-08,5802,640,24,436.57
S005,C001,2024-09,4976,570,18,447.72
S005,C001,2024-10,5720,604,20,456.28
S005,C001,2024-11,5079,582,19,380.52
S005,C001,2024-12,5400,797,28,403.76
S005,C002,2024-01,12099,1642,31,359.31
S005,C002,2024-02,12553,1712,32,347.29
S005,C002,2024-03,14335,1461,31,389.67
S005,C002,2024-04,13846,1503,30,369.1
S005,C002,2024-05,15345,1953,38,415.19
S005,C002,2024-06,13342,1601,33,403.52
S005,C002,2024-07,12713,1715,33,378.44
S005,C002,2024-08,10483,1404,26,342.1
S005,C002,2024-09,11141,1284,24,362.38
S005,C002,2024-10,9583,1185,21,346.0
S005,C002,2024-11,9827,1128,20,372.76
S005,C002,2024-12,10678,1081,23,409.34
S005,C003,2024-01,4671,505,22,533.6
S005,C003,2024-02,5955,707,32,559.33
S005,C003,2024-03,5760,611,26,482.2
S005,C003,2024-04,5376,739,31,468.21
S005,C003,2024-05,6252,763,32,495.33
S005,C003,2024-06,5172,567,27,485.71
S005,C003,2024-07,5021,521,25,530.74
S005,C003,2024-08,4824,578,27,556.78
S005,C003,2024-09,4267,446,18,485.53
S005,C003,2024-10,3664,499,22,522.7
S005,C003,2024-11,3898,419,17,509.63
S005,C003,2024-12,4678,527,24,519.12
S005,C004,2024-01,445,49,12,625.15
S005,C004,2024-02,439,55,14,638.94
S005,C004,2024-03,457,60,14,677.56
S005,C004,2024-04,529,66,17,701.32
S005,C004,2024-05,514,67,15,658.54
S005,C004,2024-06,499,54,13,726.64
S005,C004,2024-07,420,49,11,661.19
S005,C004,2024-08,348,51,13,713.92
S005,C004,2024-09,337,35,8,647.32
S005,C004,2024-10,329,40,9,679.45
S005,C004,2024-11,375,43,10,644.57
S005,C004,2024-12,369,40,10,648.04
S005,C005,2024-01,3000,422,9,350.5
S005,C005,2024-02,3620,440,11,366.97
S005,C005,2024-03,3720,381,10,349.38
S005,C005,2024-04,4277,512,13,391.65
S005,C005,2024-05,3996,482,12,363.13
S005,C005,2024-06,3699,397,10,334.44
S005,C005,2024-07,2985,391,9,379.47
S005,C005,2024-08,3193,470,12,358.71
S005,C005,2024-09,2653,330,7,349.09
S005,C005,2024-10,2760,306,7,377.95
S005,C005,2024-11,2557,287,6,375.84
S005,C005,2024-12,3046,410,9,373.49
S005,C006,2024-01,4213,498,19,456.11
S005,C006,2024-02,4540,599,22,453.66
S005,C006,2024-03,4801,590,23,484.33
S005,C006,2024-04,5276,693,28,408.85
S005,C006,2024-05,5085,632,24,417.58
S005,C006,2024-06,4160,425,15,407.71
S005,C006,2024-07,4325,486,18,479.04
S005,C006,2024-08,3433,486,19,435.78
S005,C006,2024-09,3156,330,12,417.63
S005,C006,2024-10,3153,323,13,418.07
S005,C006,2024-11,3592,398,16,422.09
S005,C006,2024-12,3884,453,18,408.48
S006,C001,2024-01,7048,876,28,414.72
S006,C001,2024-02,7689,853,30,460.04
S006,C001,2024-03,8803,1182,41,419.86
S006,C001,2024-04,8305,890,33,412.45
S006,C001,2024-05,9097,1149,39,410.58
S006,C001,2024-06,8431,902,30,415.55
S006,C001,2024-07,8316,977,35,389.54
S006,C001,2024-08,6229,894,32,404.67
S006,C001,2024-09,6273,669,24,383.91
S006,C001,2024-10,6376,811,27,450.46
S006,C001,2024-11,6877,775,28,441.01
S006,C001,2024-12,7160,1058,36,434.63
S006,C002,2024-01,15135,1876,37,366.22
S006,C002,2024-02,16513,2217,43,373.87
S006,C002,2024-03,15250,1529,30,373.73
S006,C002,2024-04,18067,2296,49,356.91
S006,C002,2024-05,18311,2103,43,380.14
S006,C002,2024-06,15196,1625,30,396.07
S006,C002,2024-07,13866,2053,39,416.75
S006,C002,2024-08,12039,1265,24,409.3
S006,C002,2024-09,11803,1260,23,365.66
S006,C002,2024-10,11576,1349,28,388.84
S006,C002,2024-11,12630,1579,30,417.72
S006,C002,2024-12,12423,1508,32,348.74
S006,C003,2024-01,5556,579,24,468.48
S006,C003,2024-02,5640,671,32,529.05
S006,C003,2024-03,6850,862,41,559.56
S006,C003,2024-04,7300,1026,43,529.76
S006,C003,2024-05,6780,856,38,477.27
S006,C003,2024-06,5756,835,38,495.28
S006,C003,2024-07,5434,709,31,513.9
S006,C003,2024-08,4667,499,21,540.77
S006,C003,2024-09,4275,499,23,550.37
S006,C003,2024-10,4266,582,28,562.31
S006,C003,2024-11,4973,674,28,533.93
S006,C003,2024-12,5263,633,28,540.18
S006,C004,2024-01,516,59,14,693.85
S006,C004,2024-02,482,62,14,678.72
S006,C004,2024-03,569,58,13,657.61
S006,C004,2024-04,553,73,18,663.97
S006,C004,2024-05,550,55,14,617.58
S006,C004,2024-06,555,70,17,707.82
S006,C004,2024-07,507,74,18,632.49
S006,C004,2024-08,458,46,12,704.54
S006,C004,2024-09,423,61,13,694.88
S006,C004,2024-10,350,36,8,625.27
S006,C004,2024-11,409,60,15,643.98
S006,C004,2024-12,455,64,16,695.66
S006,C005,2024-01,4069,440,11,392.2
S006,C005,2024-02,4479,504,13,359.83
S006,C005,2024-03,4531,643,14,350.13
S006,C005,2024-04,4835,680,18,336.18
S006,C005,2024-05,4630,496,13,341.65
S006,C005,2024-06,4367,536,14,365.75
S006,C005,2024-07,3890,460,12,359.63
S006,C005,2024-08,3082,401,10,341.05
S006,C005,2024-09,2959,385,10,341.97
S006,C005,2024-10,3294,482,11,342.99
S006,C005,2024-11,3259,480,12,356.03
S006,C005,2024-12,3185,391,9,347.83
S006,C006,2024-01,4747,505,20,413.17
S006,C006,2024-02,4741,677,25,456.76
S006,C006,2024-03,5168,584,22,417.93
S006,C006,2024-04,5169,743,26,410.52
S006,C006,2024-05,5897,672,28,418.16
S006,C006,2024-06,4938,635,27,411.61
S006,C006,2024-07,4643,474,17,486.67
S006,C006,2024-08,3920,559,20,482.56
S006,C006,2024-09,3947,568,21,473.58
S006,C006,2024-10,3927,499,21,463.34
S006,C006,2024-11,4212,501,20,483.35
S006,C006,2024-12,4021,499,21,447.62
S007,C001,2024-01,6414,925,35,457.81
S007,C001,2024-02,7561,948,31,388.35
S007,C001,2024-03,7073,713,26,445.96
S007,C001,2024-04,8041,1205,45,433.03
S007,C001,2024-05,7701,828,29,391.25
S007,C001,2024-06,7124,1048,35,390.83
S007,C001,2024-07,6720,874,28,394.51
S007,C001,2024-08,6532,732,27,417.51
S007,C001,2024-09,5395,619,22,451.98
S007,C001,2024-10,5036,527,17,444.6
S007,C001,2024-11,5396,575,19,421.2
S007,C001,2024-12,6369,841,27,391.33
S007,C002,2024-01,12178,1263,26,372.51
S007,C002,2024-02,13207,1656,34,385.27
S007,C002,2024-03,15422,2027,42,394.96
S007,C002,2024-04,13962,1432,30,413.87
S007,C002,2024-05,15203,2070,39,383.23
S007,C002,2024-06,14978,2138,41,364.88
S007,C002,2024-07,12355,1485,28,389.65
S007,C002,2024-08,10066,1390,29,405.1
S007,C002,2024-09,10949,1404,29,379.42
S007,C002,2024-10,10812,1184,25,361.65
S007,C002,2024-11,9434,1150,23,359.56
S007,C002,2024-12,11281,1583,30,386.1
S007,C003,2024-01,4799,607,28,504.44
S007,C003,2024-02,5993,768,36,543.41
S007,C003,2024-03,6227,676,28,518.69
S007,C003,2024-04,6369,699,34,481.27
S007,C003,2024-05,5439,589,26,563.42
S007,C003,2024-06,5187,662,27,533.64
S007,C003,2024-07,4584,571,26,528.23
S007,C003,2024-08,4141,447,20,552.13
S007,C003,2024-09,4434,623,30,510.46
S007,C003,2024-10,3832,388,17,535.74
S007,C003,2024-11,4358,494,22,536.85
S007,C003,2024-12,4508,512,24,486.03
S007,C004,2024-01,446,65,15,663.16
S007,C004,2024-02,476,58,13,737.1
S007,C004,2024-03,478,52,13,641.77
S007,C004,2024-04,466,59,14,689.93
S007,C004,2024-05,532,76,17,618.88
S007,C004,2024-06,464,60,16,697.55
S007,C004,2024-07,390,48,12,737.5
S007,C004,2024-08,352,44,10,679.59
S007,C004,2024-09,313,46,11,728.17
S007,C004,2024-10,363,39,10,732.63
S007,C004,2024-11,346,45,11,703.77
S007,C004,2024-12,364,45,10,613.06
S007,C005,2024-01,3011,330,8,325.51
S007,C005,2024-02,3386,470,12,380.86
S007,C005,2024-03,4205,445,10,348.02
S007,C005,2024-04,4296,596,14,330.31
S007,C005,2024-05,3968,447,11,391.81
S007,C005,2024-06,3689,539,13,369.6
S007,C005,2024-07,3566,461,11,375.57
S007,C005,2024-08,3202,334,8,352.63
S007,C005,2024-09,2957,437,10,332.58
S007,C005,2024-10,2874,329,7,326.56
S007,C005,2024-11,2610,351,8,361.21
S007,C005,2024-12,3223,340,7,385.34
S007,C006,2024-01,4359,493,19,432.93
S007,C006,2024-02,4679,482,19,417.05
S007,C006,2024-03,5157,613,24,407.64
S007,C006,2024-04,4520,604,25,468.9
S007,C006,2024-05,5077,534,22,421.36
S007,C006,2024-06,4179,576,24,469.5
S007,C006,2024-07,4384,655,24,491.86
S007,C006,2024-08,3794,533,21,456.3
S007,C006,2024-09,3555,412,17,415.38
S007,C006,2024-10,3185,323,12,424.64
S007,C006,2024-11,3108,387,15,412.0
S007,C006,2024-12,3541,522,19,432.45
S008,C001,2024-01,5340,720,24,415.97
S008,C001,2024-02,5884,789,29,393.21
S008,C001,2024-03,6125,637,22,389.38
S008,C001,2024-04,6883,740,24,378.37
S008,C001,2024-05,6496,678,23,428.21
S008,C001,2024-06,6150,831,30,436.51
S008,C001,2024-07,6245,698,22,429.22
S008,C001,2024-08,5267,661,20,424.64
S008,C001,2024-09,5159,602,23,407.97
S008,C001,2024-10,4263,511,17,430.88
S008,C001,2024-11,4753,602,19,399.3
S008,C001,2024-12,4973,742,24,453.31
S008,C002,2024-01,10348,1084,20,362.73
S008,C002,2024-02,12978,1735,37,405.46
S008,C002,2024-03,12832,1716,35,392.64
S008,C002,2024-04,12314,1482,30,344.73
S008,C002,2024-05,12590,1800,35,383.98
S008,C002,2024-06,11139,1556,30,414.7
S008,C002,2024-07,11832,1725,31,367.32
S008,C002,2024-08,10554,1479,32,385.51
S008,C002,2024-09,8868,934,19,398.63
S008,C002,2024-10,7855,867,17,394.01
S008,C002,2024-11,8258,926,17,358.72
S008,C002,2024-12,10507,1426,29,402.34
S008,C003,2024-01,4184,578,28,540.63
S008,C003,2024-02,4659,632,30,481.39
S008,C003,2024-03,4816,702,34,518.35
S008,C003,2024-04,5039,575,25,565.19
S008,C003,2024-05,4699,568,27,504.31
S008,C003,2024-06,4992,596,28,570.02
S008,C003,2024-07,4210,598,29,570.32
S008,C003,2024-08,3825,475,20,500.66
S008,C003,2024-09,3556,391,18,523.78
S008,C003,2024-10,3720,522,22,520.6
S008,C003,2024-11,3739,410,16,556.64
S008,C003,2024-12,3595,519,25,515.91
S008,C004,2024-01,380,44,11,724.16
S008,C004,2024-02,361,46,11,612.12
S008,C004,2024-03,461,55,13,638.49
S008,C004,2024-04,440,61,15,719.17
S008,C004,2024-05,440,49,12,632.21
S008,C004,2024-06,358,36,9,745.9
S008,C004,2024-07,329,38,8,725.46
S008,C004,2024-08,322,42,10,708.59
S008,C004,2024-09,286,30,6,672.61
S008,C004,2024-10,310,35,8,737.94
S008,C004,2024-11,273,28,7,707.32
S008,C004,2024-12,318,43,11,617.45
S008,C005,2024-01,2972,392,10,393.6
S008,C005,2024-02,3081,398,9,328.78
S008,C005,2024-03,3323,446,11,354.94
S008,C005,2024-04,3665,512,13,329.55
S008,C005,2024-05,3568,520,11,352.92
S008,C005,2024-06,3467,450,11,336.78
S008,C005,2024-07,2909,354,8,357.43
S008,C005,2024-08,2411,329,9,357.81
S008,C005,2024-09,2437,296,6,393.88
S008,C005,2024-10,2127,224,5,371.44
S008,C005,2024-11,2305,252,6,350.14
S008,C005,2024-12,2426,286,6,361.4
S008,C006,2024-01,3710,519,19,420.03
S008,C006,2024-02,3569,397,14,436.09
S008,C006,2024-03,3912,504,19,413.42
S008,C006,2024-04,4221,466,19,437.8
S008,C006,2024-05,3914,459,17,476.62
S008,C006,2024-06,4330,438,18,428.76
S008,C006,2024-07,3278,330,14,436.82
S008,C006,2024-08,3550,433,16,474.94
S008,C006,2024-09,3221,453,19,435.12
S008,C006,2024-10,2621,288,11,491.06
S008,C006,2024-11,3100,438,16,466.54
S008,C006,2024-12,3464,429,16,469.75
